Integer, Steps, Result
291,4,6996
292,0,292
293,3,2992
294,4,9339
296,7,881188
297,5,79497
298,3,3113
299,3,5335
300,1,303
301,1,404
302,1,505
303,0,303
304,1,707
305,1,808
306,1,909
307,2,1111
308,1,1111
309,2,3333
310,1,323
311,1,424
312,1,525
313,0,313
314,1,727
315,1,828
316,1,929
317,2,1331
318,2,2442
319,2,3553
320,1,343
321,1,444
322,1,545
323,0,323
324,1,747
325,1,848
326,1,949
327,2,1551
328,2,2662
329,2,3773
330,1,363
331,1,464
332,1,565
333,0,333
334,1,767
335,1,868
336,1,969
337,2,1771
338,2,2882
339,2,3993
340,1,383
341,1,484
342,1,585
343,0,343
344,1,787
345,1,888
346,1,989
347,2,1991
348,3,5115
349,3,7337
350,2,707
351,2,909
352,2,1111
353,0,353
354,3,6666
355,3,8888
356,3,11011
357,2,1221
358,2,2332
359,2,3443
360,2,747
361,2,949
362,3,2662
363,0,363
364,5,45254
365,11,88555588
366,3,13431
367,2,1441
368,2,2552
369,2,3663
370,2,787
371,2,989
372,4,5115
373,0,373
374,5,44044
375,15,8836886388
376,3,15851
377,2,1661
378,2,2772
379,2,3883
380,6,45254
381,4,13431
382,3,2552
383,0,383
384,3,6996
385,23,8813200023188
386,7,233332
387,2,1881
388,2,2992
389,3,7117
390,4,6996
391,8,233332
392,3,2992
393,0,393
395,7,881188
396,5,79497
397,3,3113
398,3,5335
399,3,7557
400,1,404
401,1,505
402,1,606
403,1,707
404,0,404
405,1,909
406,2,1111
407,1,1111
408,2,3333
409,2,4444
410,1,424
411,1,525
412,1,626
413,1,727
414,0,414
415,1,929
416,2,1331
417,2,2442
418,2,3553
419,2,4664
420,1,444
421,1,545
422,1,646
423,1,747
424,0,424
425,1,949
426,2,1551
427,2,2662
428,2,3773
429,2,4884
430,1,464
431,1,565
432,1,666
433,1,767
434,0,434
435,1,969
436,2,1771
437,2,2882
438,2,3993
439,3,9119
440,1,484
441,1,585
442,1,686
443,1,787
444,0,444
445,1,989
446,2,1991
447,3,5115
448,3,7337
449,3,9559
450,2,909
451,2,1111
452,3,4444
453,3,6666
454,0,454
455,3,11011
456,2,1221
457,2,2332
458,2,3443
459,2,4554
460,2,949
461,3,2662
462,3,4884
463,5,45254
464,0,464
465,3,13431
466,2,1441
467,2,2552
468,2,3663
469,2,4774
470,2,989
471,4,5115
472,4,9559
473,5,44044
474,0,474
475,3,15851
476,2,1661
477,2,2772
478,2,3883
479,2,4994
480,4,13431
481,3,2552
482,3,4774
483,3,6996
484,0,484
485,7,233332
486,2,1881
487,2,2992
488,3,7117
489,3,9339
490,8,233332
491,3,2992
492,4,9339
494,0,494
495,5,79497
496,3,3113
497,3,5335
498,3,7557
499,3,9779
500,1,505
501,1,606
502,1,707
503,1,808
504,1,909
505,0,505
506,1,1111
507,2,3333
508,2,4444
509,2,5555
510,1,525
511,1,626
512,1,727
513,1,828
514,1,929
515,0,515
516,2,2442
517,2,3553
518,2,4664
519,2,5775
520,1,545
521,1,646
522,1,747
523,1,848
524,1,949
525,0,525
526,2,2662
527,2,3773
528,2,4884
529,2,5995
530,1,565
531,1,666
532,1,767
533,1,868
534,1,969
535,0,535
536,2,2882
537,2,3993
538,3,9119
539,4,25652
540,1,585
541,1,686
542,1,787
543,1,888
544,1,989
545,0,545
546,3,5115
547,3,7337
548,3,9559
549,5,59895
550,2,1111
551,3,4444
552,3,6666
553,3,8888
554,3,11011
555,0,555
556,2,2332
557,2,3443
558,2,4554
559,2,5665
560,3,2662
561,3,4884
562,5,45254
563,11,88555588
564,3,13431
565,0,565
566,2,2552
567,2,3663
568,2,4774
569,2,5885
570,4,5115
571,4,9559
572,5,44044
573,15,8836886388
574,3,15851
575,0,575
576,2,2772
577,2,3883
578,2,4994
579,4,23232
580,3,2552
581,3,4774
582,3,6996
583,23,8813200023188
584,7,233332
585,0,585
586,2,2992
587,3,7117
588,3,9339
589,8,1136311
590,3,2992
591,4,9339
593,7,881188
594,5,79497
595,0,595
596,3,5335
597,3,7557
598,3,9779
599,4,22022
600,1,606
601,1,707
602,1,808
603,1,909
604,2,1111
605,1,1111
606,0,606
607,2,4444
608,2,5555
609,2,6666
610,1,626
611,1,727
612,1,828
613,1,929
614,2,1331
615,2,2442
616,0,616
617,2,4664
618,2,5775
619,2,6886
620,1,646
621,1,747
622,1,848
623,1,949
624,2,1551
625,2,2662
626,0,626
627,2,4884
628,2,5995
629,4,45254
630,1,666
631,1,767
632,1,868
633,1,969
634,2,1771
635,2,2882
636,0,636
637,3,9119
638,4,25652
639,5,99099
640,1,686
641,1,787
642,1,888
643,1,989
644,2,1991
645,3,5115
646,0,646
647,3,9559
648,5,59895
649,4,44044
650,3,4444
651,3,6666
652,3,8888
653,3,11011
654,2,1221
655,2,2332
656,0,656
657,2,4554
658,2,5665
659,2,6776
660,3,4884
661,5,45254
662,11,88555588
663,3,13431
664,2,1441
665,2,2552
666,0,666
667,2,4774
668,2,5885
669,2,6996
670,4,9559
671,5,44044
672,15,8836886388
673,3,15851
674,2,1661
675,2,2772
676,0,676
677,2,4994
678,4,23232
679,4,47674
680,3,4774
681,3,6996
682,23,8813200023188
683,7,233332
684,2,1881
685,2,2992
686,0,686
687,3,9339
688,8,1136311
690,4,9339
692,7,881188
693,5,79497
694,3,3113
695,3,5335
696,0,696
697,3,9779
698,4,22022
699,4,46464
700,1,707
701,1,808
702,1,909
703,2,1111
704,1,1111
705,2,3333
706,2,4444
707,0,707
708,2,6666
709,2,7777
710,1,727
711,1,828
712,1,929
713,2,1331
714,2,2442
715,2,3553
716,2,4664
717,0,717
718,2,6886
719,2,7997
720,1,747
721,1,848
722,1,949
723,2,1551
724,2,2662
725,2,3773
726,2,4884
727,0,727
728,4,45254
729,4,69696
730,1,767
731,1,868
732,1,969
733,2,1771
734,2,2882
735,2,3993
736,3,9119
737,0,737
738,5,99099
739,17,5233333325
740,1,787
741,1,888
742,1,989
743,2,1991
744,3,5115
745,3,7337
746,3,9559
747,0,747
748,4,44044
749,4,68486
750,3,6666
751,3,8888
752,3,11011
753,2,1221
754,2,2332
755,2,3443
756,2,4554
757,0,757
758,2,6776
759,2,7887
760,5,45254
761,11,88555588
762,3,13431
763,2,1441
764,2,2552
765,2,3663
766,2,4774
767,0,767
768,2,6996
769,4,67276
770,5,44044
771,15,8836886388
772,3,15851
773,2,1661
774,2,2772
775,2,3883
776,2,4994
777,0,777
778,4,47674
779,6,475574
780,3,6996
781,23,8813200023188
782,7,233332
783,2,1881
784,2,2992
785,3,7117
786,3,9339
787,0,787
789,4,66066
791,7,881188
792,5,79497
793,3,3113
794,3,5335
795,3,7557
796,3,9779
797,0,797
798,4,46464
799,6,449944
800,1,808
801,1,909
802,2,1111
803,1,1111
804,2,3333
805,2,4444
806,2,5555
807,2,6666
808,0,808
809,2,8888
810,1,828
811,1,929
812,2,1331
813,2,2442
814,2,3553
815,2,4664
816,2,5775
817,2,6886
818,0,818
819,4,89298
820,1,848
821,1,949
822,2,1551
823,2,2662
824,2,3773
825,2,4884
826,2,5995
827,4,45254
828,0,828
829,10,88555588
830,1,868
831,1,969
832,2,1771
833,2,2882
834,2,3993
835,3,9119
836,4,25652
837,5,99099
838,0,838
839,4,88088
840,1,888
841,1,989
842,2,1991
843,3,5115
844,3,7337
845,3,9559
846,5,59895
847,4,44044
848,0,848
849,14,8836886388
850,3,8888
851,3,11011
852,2,1221
853,2,2332
854,2,3443
855,2,4554
856,2,5665
857,2,6776
858,0,858
859,2,8998
860,11,88555588
861,3,13431
862,2,1441
863,2,2552
864,2,3663
865,2,4774
866,2,5885
867,2,6996
868,0,868
869,22,8813200023188
870,15,8836886388
871,3,15851
872,2,1661
873,2,2772
874,2,3883
875,2,4994
876,4,23232
877,4,47674
878,0,878
880,23,8813200023188
881,7,233332
882,2,1881
883,2,2992
884,3,7117
885,3,9339
886,8,1136311
888,0,888
889,6,881188
890,7,881188
891,5,79497
892,3,3113
893,3,5335
894,3,7557
895,3,9779
896,4,22022
897,4,46464
898,0,898
899,17,133697796331
900,1,909
901,2,1111
902,1,1111
903,2,3333
904,2,4444
905,2,5555
906,2,6666
907,2,7777
908,2,8888
909,0,909
910,1,929
911,2,1331
912,2,2442
913,2,3553
914,2,4664
915,2,5775
916,2,6886
917,2,7997
918,4,89298
919,0,919
920,1,949
921,2,1551
922,2,2662
923,2,3773
924,2,4884
925,2,5995
926,4,45254
927,4,69696
928,10,88555588
929,0,929
930,1,969
931,2,1771
932,2,2882
933,2,3993
934,3,9119
935,4,25652
936,5,99099
937,17,5233333325
938,4,88088
939,0,939
940,1,989
941,2,1991
942,3,5115
943,3,7337
944,3,9559
945,5,59895
946,4,44044
947,4,68486
948,14,8836886388
949,0,949
950,3,11011
951,2,1221
952,2,2332
953,2,3443
954,2,4554
955,2,5665
956,2,6776
957,2,7887
958,2,8998
959,0,959
960,3,13431
961,2,1441
962,2,2552
963,2,3663
964,2,4774
965,2,5885
966,2,6996
967,4,67276
968,22,8813200023188
969,0,969
970,3,15851
971,2,1661
972,2,2772
973,2,3883
974,2,4994
975,4,23232
976,4,47674
977,6,475574
979,0,979
980,7,233332
981,2,1881
982,2,2992
983,3,7117
984,3,9339
985,8,1136311
987,4,66066
988,6,881188
989,0,989
990,5,79497
991,3,3113
992,3,5335
993,3,7557
994,3,9779
995,4,22022
996,4,46464
997,6,449944
998,17,133697796331
999,0,999
